Designator,Mid X,Mid Y,Rotation,Layer
R31,-20.701,186.69,180.0,top
R32,-15.621,186.69,180.0,top
R33,-10.541,186.69,180.0,top
R34,-119.38,55.499,90.0,top
R35,-88.9,177.546,270.0,top
R36,-91.44,177.546,270.0,top
R37,-56.388,177.546,270.0,top
R38,-58.928,177.546,270.0,top
R39,-7.112,202.692,180.0,top
R4,-120.015,183.324,90.0,top
R40,-7.0866,204.47,180.0,top
R41,-74.1934,148.9964,270.0,top
R42,-8.128,39.878,0.0,top
R5,-31.4725,207.645,0.0,top
R6,-37.8225,207.645,0.0,top
R7,-76.327,77.089,90.0,top
R8,-80.137,107.95,0.0,top
R9,-80.2132,80.7974,0.0,top
RESET0,-123.952,200.025,90.0,top
SD1,-103.4762,198.3698,180.0,top
SD2,-70.739,198.374,180.0,top
U1,-63.75,135.25,270.0,top
U10,-80.01,115.78,180.0,top
U12,-122.555,33.02,0.0,top
U13,-111.125,33.02,0.0,top
U14,-99.695,33.02,0.0,top
U17,-74.93,46.355,0.0,top
U18,-97.155,46.355,0.0,top
U19,-119.38,46.355,0.0,top
U2,-63.5,89.0,270.0,top
U20,-7.62,33.02,0.0,top
U24,-76.835,33.02,0.0,top
U25,-88.265,33.02,0.0,top
U4,-27.305,170.5356,0.0,top
U5,-20.955,35.56,0.0,top
U6,-39.751,89.4334,0.0,top
U7,-35.56,110.895,180.0,top
U8,-36.83,35.56,0.0,top
U9,-14.675,205.2,90.0,top
X1,-92.6328,110.6508,270.0,top
